companyLabel,ceoLabel,prediction,answer,confidence,eval
PostNL,Herna Verhagen,"Answer: Pim Berendsen, Confidence: high",Pim Berendsen,high,False
BMW,Oliver Zipse,"Answer: Oliver Zipse, Confidence: High.",Oliver Zipse,High,True
QBE Insurance,John Neal,"Answer: Andrew Horton, Confidence: high",Andrew Horton,high,True
CoreCivic,Damon T. Hininger,"Answer: Damon T. Hininger, Confidence: High",Damon T. Hininger,High,True
Finnair,Pekka Vauramo,"Answer: Turkka Kuusisto, Confidence: high.",Turkka Kuusisto,high,True
SalMar,Gustav Witzøe,"Answer: Frode Arntsen, Confidence: high.",Frode Arntsen,high,False
Odakyu Electric Railway,Kōji Hoshino,"Answer: Shigeru Suzuki, Confidence: high.",Shigeru Suzuki,high,True
Elzab,Krzysztof Urbanowicz,"Answer: Bartosz Panek, Confidence: High",Bartosz Panek,High,True
Kesko,Mikko Helander,"Answer: Jorma Rauhala, Confidence: High",Jorma Rauhala,High,True
Israel Railways,Moshe Zana,"Answer: Moshe Jana, Confidence: high.",Moshe Jana,high,True
Dassault Systèmes,Bernard Charlès,"Answer: Pascal Daloz, Confidence: High",Pascal Daloz,High,True
Cloudflare,Matthew Prince,"Answer: Matthew Prince, Confidence: high.",Matthew Prince,high,True
Pivovary Lobkowicz Group,Jaroslav Tvrdík,"Answer: Zdenek Radil, Confidence: high.",Zdenek Radil,high,False
Deutsche Bank,Christian Sewing,"Answer: Christian Sewing, Confidence: High.",Christian Sewing,High,True
Wilh. Wilhelmsen,Thomas Wilhelmsen,"Answer: Thomas Wilhelmsen, Confidence: High",Thomas Wilhelmsen,High,True
Stellantis,Carlos Tavares,"Answer: Tim Kuniskis, Confidence: medium",Tim Kuniskis,medium,False
Delta-galil Industries Ltd.,Isaac Dabah,"Answer: Isaac Dabah, Confidence: High",Isaac Dabah,High,True
BioNTech,Uğur Şahin,"Answer: Ugur Sahin, Confidence: high.",Ugur Sahin,high,True
ZipRecruiter,Ian Siegel,"Answer: Ian Siegel, Confidence: High",Ian Siegel,High,True
Renault,Luca de Meo,"Answer: Luca de Meo, Confidence: high",Luca de Meo,high,True
Poste Italiane,Matteo Del Fante,"Answer: Matteo Del Fante, Confidence: high.",Matteo Del Fante,high,True
Eurocash,Luis Conceicao Do Amaral,"Answer: Paweł Surówka, Confidence: High",Paweł Surówka,High,True
Carrefour Group,Alexandre Bompard,"Answer: Alexandre Bompard, Confidence: High.",Alexandre Bompard,High,True
Cisco,John Morgridge,"Answer: Chuck Robbins, Confidence: High.",Chuck Robbins,High,True
Electrolux,Jonas Samuelson,"Answer: Yannick Fierling, Confidence: high",Yannick Fierling,high,True
Tencent,Ma Huateng,"Answer: MA Huateng (Pony Ma), Confidence: High",MA Huateng (Pony Ma),High,True
Macquarie Group,Shemara Wikramanayake,"Answer: Shemara Wikramanayake, Confidence: High",Shemara Wikramanayake,High,True
Ping An Insurance,Ma Mingzhe,"Answer: Michael Guo Xiaotao and Xie Yonglin, Confidence: High",Michael Guo Xiaotao and Xie Yonglin,High,True
Moneta Money Bank,Tomáš Spurný,"Answer: Andrew John Gerber, Confidence: medium.",Andrew John Gerber,medium,False
Bell Resources,Mark Avery,"Answer: Mark Avery, Confidence: High",Mark Avery,High,True
Yandex,Arkady Volozh,"Answer: Tigran Khudaverdyan, Confidence: high",Tigran Khudaverdyan,high,False
AB Volvo,Hamza Moualdi,"Answer: Martin Lundstedt, Confidence: High.",Martin Lundstedt,High,True
H&M,Karl-Johan Persson,"Answer: Daniel Ervér, Confidence: high.",Daniel Ervér,high,True
ČEZ,Daniel Beneš,"Answer: Daniel Beneš, Confidence: High",Daniel Beneš,High,True
Leonardo,Roberto Cingolani,"Answer: Roberto Cingolani, Confidence: High",Roberto Cingolani,High,True
VK,Boris Dobrodeyev,"Answer: Stepan Kovalchuk, Confidence: medium",Stepan Kovalchuk,medium,False
freelancer.com,Matt Barrie,"Answer: Matt Barrie, Confidence: high",Matt Barrie,high,True
Songa Offshore SE,Bjørnar Iversen,"Answer: N/A - The provided search results do not contain information about the current CEO of Songa Offshore SE as of 2025. 
Confidence: low",N/A - The provided search results do not contain information about the current CEO of Songa Offshore SE as of 2025.,low,False
Standard Chartered,Bill Winters,"Answer: Bill Winters, Confidence: High",Bill Winters,High,True
Saudi Aramco,Amin H. Al-Nasser,"Answer: Amin H. Nasser, Confidence: High",Amin H. Nasser,High,True
Telstra,Andy Penn,"Answer: Vicki Brady
Confidence: High",Vicki Brady,High,True
LPP,Marek Piechocki,"Answer: Przemysław Mocek, Confidence: medium",Przemysław Mocek,medium,False
Porsche,Heinz Branitzki,"Answer: Oliver Blume, Confidence: high.",Oliver Blume,high,True
DuPont,Edward D. Breen,"Answer: Lori Koch, Confidence: High",Lori Koch,High,True
Unibail Rodamco Westfield,Jean-Marie Tritant,"Answer: Jean-Marie Tritant, Confidence: high.",Jean-Marie Tritant,high,True
Newag,Zbigniew Konieczek,"Answer: Zbigniew Konieczek, Confidence: high.",Zbigniew Konieczek,high,True
G4S,Ashley Almanza,"Answer: Not available in the provided search results., Confidence: low",Not available in the provided search results.,low,False
GN Store Nord,Jørgen Lindegaard,"Answer: Peter Karlstromer, Confidence: High.",Peter Karlstromer,High,True
Beyond Meat,Ethan Brown,"Answer: Ethan Brown, Confidence: high.",Ethan Brown,high,True
Rotem Shani,Q17522859,"Answer: Didi Yedidya and Yehuda Yedidia are mentioned as CEOs in different snippets, but since there is no clear indication that the information about Yehuda Yedidia being CEO is outdated, I'll provide both names. However, please note that this might not be accurate due to the inconsistent information provided. Didi Yedidya and Yehuda Yedidia, Confidence: low","Didi Yedidya and Yehuda Yedidia are mentioned as CEOs in different snippets, but since there is no clear indication that the information about Yehuda Yedidia being CEO is outdated, I'll provide both names. However, please note that this might not be accurate due to the inconsistent information provided. Didi Yedidya and Yehuda Yedidia",low,False
Heineken,Jean-François van Boxmeer,"Answer: Dolf van den Brink, Confidence: High",Dolf van den Brink,High,True
JPMorgan Chase,Jamie Dimon,"Answer: Jamie Dimon, Confidence: High",Jamie Dimon,High,True
Chevron Corporation,Mike Wirth,"Answer: Michael K. (Mike) Wirth, Confidence: High",Michael K. (Mike) Wirth,High,True
Snap Inc.,Evan Spiegel,"Answer: Evan Spiegel, Confidence: High.",Evan Spiegel,High,True
Legrand,Benoît Coquart,"Answer: Benoît Coquart, Confidence: high.",Benoît Coquart,high,True
"Elevance Health, Inc.",Joe Swedish,"Answer: Gail K. Boudreaux, Confidence: high.",Gail K. Boudreaux,high,True
Atari SA,Frédéric Chesnais,"Answer: Wade J Rosen, Confidence: high",Wade J Rosen,high,True
Japan Post Holdings,Masatsugu Nagato,"Answer: Kazuyuki Negishi, Confidence: high",Kazuyuki Negishi,high,False
Telkom Indonesia,Alex Sinaga,"Answer: Ririek Adriansyah, Confidence: High",Ririek Adriansyah,High,True
Imperial Hotel,Hideya Sadayasu,"Answer: Isato Yoshimura, Confidence: Medium",Isato Yoshimura,Medium,False
Spotify Technology,Daniel Ek,"Answer: Daniel Ek, Confidence: High",Daniel Ek,High,True
General Motors,Mary Barra,"Answer: Mary Barra, Confidence: High.",Mary Barra,High,True
Western Union,Hikmet Ersek,"Answer: Devin McGranahan, Confidence: High",Devin McGranahan,High,True
Polestar,Michael Lohscheller,"Answer: Michael Lohscheller, Confidence: high",Michael Lohscheller,high,True
TIM Group,Salvatore Rossi,"Answer: Pietro Labriola, Confidence: high.",Pietro Labriola,high,True
Verizon Communications,Hans Vestberg,"Answer: Hans Vestberg, Confidence: high",Hans Vestberg,high,True
Bank of America,Brian Moynihan,"Answer: Brian Moynihan, Confidence: High.",Brian Moynihan,High,True
Naftna Industrija Srbije,Kirill Kravchenko,"Answer: Kirill Tyurdenev, Confidence: high",Kirill Tyurdenev,high,True
Similarweb,Or Offer,"Answer: Or Offer, Confidence: high",Or Offer,high,True
Nikola Corporation,Trevor Milton,"Answer: Steve Girsky, Confidence: High",Steve Girsky,High,True
Maggie Beer Holdings,Laura McBain,"Answer: Chantale Millard, Confidence: medium.",Chantale Millard,medium,False
Freyr Battery,Jan Arve Haugan,"Answer: Daniel Barcelo, Confidence: high.",Daniel Barcelo,high,True
Repsol,Josu Jon Imaz,"Answer: Josu Jon Imaz, Confidence: High",Josu Jon Imaz,High,True
"GREE, Inc.",Yoshikazu Tanaka,"Answer: Yoshikazu Tanaka, Confidence: High",Yoshikazu Tanaka,High,True
Broadcom,Tan Hock Eng,"Answer: Hock Tan, Confidence: High",Hock Tan,High,True
Adobe,John Warnock,"Answer: Shantanu Narayen
Confidence: High",Shantanu Narayen,High,True
Publicis,Maurice Lévy,"Answer: Arthur Sadoun, Confidence: High",Arthur Sadoun,High,True
Microsoft,Satya Nadella,"Answer: Satya Nadella, Confidence: High",Satya Nadella,High,True
ConocoPhillips,Ryan Lance,"Answer: Ryan Lance, Confidence: High",Ryan Lance,High,True
Kering,François-Henri Pinault,"Answer: François-Henri Pinault, Confidence: High.",François-Henri Pinault,High,True
Homeserve,Richard Harpin,"Answer: Not explicitly stated in the search results for the current CEO of Homeserve in 2025., Confidence: low.",Not explicitly stated in the search results for the current CEO of Homeserve in 2025.,low,False
"Netflix, Inc.",Reed Hastings,"Answer: Ted Sarandos and Greg Peters, Confidence: high",Ted Sarandos and Greg Peters,high,True
RTL Group,Thomas Rabe,"Answer: Thomas Rabe, Confidence: medium",Thomas Rabe,medium,True
SCOR SE,Denis Kessler,"Answer: Thierry Léger, Confidence: high.",Thierry Léger,high,True
Sanofi,Paul Hudson,"Answer: Paul Hudson, Confidence: High",Paul Hudson,High,True
Fjord1,Dagfinn Neteland,"Answer: Dagfinn Neteland, Confidence: high",Dagfinn Neteland,high,True
PGE Polska Grupa Energetyczna,Henryk Baranowski,"Answer: Dariusz Robert Marzec, Confidence: high",Dariusz Robert Marzec,high,True
Canal+,Maxime Saada,"Answer: Maxime Saada, Confidence: high.",Maxime Saada,high,True
Electronic Arts,Andrew Wilson,"Answer: Andrew Wilson, Confidence: High",Andrew Wilson,High,True
Hang Seng Bank,Rose Lee Wai Mun,"Answer: Diana Ferreira CESAR, Confidence: High",Diana Ferreira CESAR,High,True
Norwegian Air Shuttle,Geir Karlsen,"Answer: Geir Karlsen, Confidence: high.",Geir Karlsen,high,True
BlackRock,Larry Fink,"Answer: Laurence D. Fink, Confidence: High",Laurence D. Fink,High,True
Getlink,Jacques Gounon,"Answer: Yann Leriche, Confidence: high",Yann Leriche,high,True
Tauron Polska Energia,Filip Grzegorczyk,"Answer: Grzegorz Lot, Confidence: High",Grzegorz Lot,High,True
Viaplay Group,Anders Jensen,"Answer: Jørgen Madsen Lindemann, Confidence: high",Jørgen Madsen Lindemann,high,True
Vinci,Guy Dejouany,"Answer: Xavier Huillard (as of now but will be replaced by Pierre Anjolras after April 17, 2025), Confidence: medium.","Xavier Huillard (as of now but will be replaced by Pierre Anjolras after April 17, 2025)",medium,False
Air New Zealand,Christopher Luxon,"Answer: Greg Foran, Confidence: medium.",Greg Foran,medium,True
Northrop Grumman,Kathy J. Warden,"Answer: Kathy J. Warden, Confidence: High",Kathy J. Warden,High,True
Polaris Media,Per Axel Koch,"Answer: Per Axel Koch, Confidence: high",Per Axel Koch,high,True
Nokia,Björn Westerlund,"Answer: Justin Hotard, Confidence: high",Justin Hotard,high,True
Fortescue Metals Group,Elizabeth Gaines,"Answer: Dino Otranto, Confidence: High.",Dino Otranto,High,True
KGHM Polska Miedź,Radosław Domagalski-Łabędzki,"Answer: Andrzej Szydło, Confidence: high",Andrzej Szydło,high,True
Evry,Per Hove,"Answer: Chris Gay, Confidence: medium",Chris Gay,medium,False
GMM Grammy,Boosaba Daorueng,"Answer: Phawit Chitrakorn, Confidence: Medium",Phawit Chitrakorn,Medium,False
HP Inc.,Dion Weisler,"Answer: Enrique Lores, Confidence: High",Enrique Lores,High,True
Storebrand,Odd Arild Grefstad,"Answer: Jan Erik Saugestad, Confidence: medium 

Note: Although the search results provide conflicting information about the current CEO of Storebrand (Odd Arild Grefstad and Jan Erik Saugestad), the most recent and relevant result from March 31, 2025, suggests that Jan Erik Saugestad is the CEO of Storebrand Asset Management. However, it's unclear if he is also the CEO of Storebrand Group. Therefore, I've assigned a medium confidence score to this answer.",Jan Erik Saugestad,medium,False
Caterpillar Inc.,Jim Umpleby,"Answer: D. James (Jim) Umpleby III, Confidence: high",D. James (Jim) Umpleby III,high,True
Hurtigruten Group,Daniel Skjeldam,"Answer: Hedda Felin, Confidence: high.",Hedda Felin,high,True
Orange Polska,Bruno Duthoit,"Answer: Liudmila Climoc, Confidence: high.",Liudmila Climoc,high,True
"UNIMEX GROUP, uzavřený investiční fond",Jiří Šimáně,"Answer: Jiří Šimáně, Confidence: high.",Jiří Šimáně,high,True
Miss Grand International (company),Nawat Itsaragrisil,"Answer: Nawat Itsaragrisil, Confidence: high",Nawat Itsaragrisil,high,True
Aena,Maurici Lucena Betriu,"Answer: Maurici Lucena Betriu, Confidence: High.",Maurici Lucena Betriu,High,True
Dassault Aviation,Éric Trappier,"Answer: Éric Trappier, Confidence: high.",Éric Trappier,high,True
O2 Czech Republic,Jindřich Fremuth,"Answer: Jindrich Fremuth, Confidence: high",Jindrich Fremuth,high,True
Alphabet Inc.,Sundar Pichai,"Answer: Sundar Pichai, Confidence: High",Sundar Pichai,High,True
OHL ŽS,Petr Brzezina,"Answer: Roman Kocúrek, Confidence: medium",Roman Kocúrek,medium,True
ADA,Nicolas Rousselet,"Answer: Charles D. “Chuck” Henderson (American Diabetes Association) / Mike Murchison (Ada), Confidence: high",Charles D. “Chuck” Henderson (American Diabetes Association) / Mike Murchison (Ada),high,False
Ubisoft,Yves Guillemot,"Answer: Yves Guillemot, Confidence: high.",Yves Guillemot,high,True
Arkema,Thierry Le Hénaff,"Answer: Anthony O'Donovan is the President & CEO of Arkema Inc., but Thierry Le Hénaff is still the Chairman and CEO of Arkema as of 2024. However since only one answer can be provided, I will provide the information about the global CEO, Answer: Thierry Le Hénaff, Confidence: medium","Anthony O'Donovan is the President & CEO of Arkema Inc., but Thierry Le Hénaff is still the Chairman and CEO of Arkema as of 2024. However since only one answer can be provided, I will provide the information about the global CEO, Answer: Thierry Le Hénaff",medium,True
Fiat Chrysler Automobiles,Michael Manley,"Answer: Mike Manley, Confidence: medium",Mike Manley,medium,False
Vivendi,Yannick Bolloré,"Answer: Arnaud de Puyfontaine, Confidence: high",Arnaud de Puyfontaine,high,True
Google,Sundar Pichai,"Answer: Sundar Pichai, Confidence: high",Sundar Pichai,high,True
Accor,Sébastien Bazin,"Answer: Sébastien Bazin, Confidence: High.",Sébastien Bazin,High,True
Air France-KLM,Benjamin Smith,"Answer: Benjamin Smith, Confidence: High.",Benjamin Smith,High,True
FNC Entertainment,Han Sung-ho,"Answer: Han Sung-ho and Youshik Kim (Co-CEOs), Confidence: High",Han Sung-ho and Youshik Kim (Co-CEOs),High,False
Luminar Technologies,Austin Russell,"Answer: Austin Russell, Confidence: High",Austin Russell,High,True
Groupe SEB,Thierry de La Tour d'Artaise,"Answer: Stanislas DE GRAMONT, Confidence: high.",Stanislas DE GRAMONT,high,True
Ahold Delhaize,Frans Muller,"Answer: JJ Fleeman and Frans Muller (co-CEOs), Confidence: medium.",JJ Fleeman and Frans Muller (co-CEOs),medium,False
VEON,Kaan Terzioğlu,"Answer: Kaan Terzioglu, Confidence: high",Kaan Terzioglu,high,True
Webuild,Pietro Salini,"Answer: Pietro Salini, Confidence: high",Pietro Salini,high,True
Indra Sistemas,José Vicente de los Mozos,"Answer: José Vicente de los Mozos, Confidence: High",José Vicente de los Mozos,High,True
AnyColor,Riku Tazumi,"Answer: Riku Tazumi, Confidence: High.",Riku Tazumi,High,True
Traton,Christian Levin,"Answer: Christian Levin, Confidence: high.",Christian Levin,high,True
Nintendo,Tatsumi Kimishima,"Answer: Shuntaro Furukawa, Confidence: High.",Shuntaro Furukawa,High,True
Nippon Steel Corporation,Eiji Hashimoto,"Answer: Eiji Hashimoto, Confidence: High",Eiji Hashimoto,High,True
Meliá Hotels International,Gabriel Escarrer Jaume,"Answer: Gabriel Escarrer Jaume, Confidence: High.",Gabriel Escarrer Jaume,High,True
IBM,Arvind Krishna,"Answer: Arvind Krishna, Confidence: High.",Arvind Krishna,High,True
Royal Unibrew,Henrik Brandt,"Answer: Lars Jensen, Confidence: High.",Lars Jensen,High,True
MicroStrategy,Michael J. Saylor,"Answer: Phong Le, Confidence: high. 

Note: Although some search results indicate that Michael J. Saylor was the CEO of MicroStrategy until August 2022, the most recent information from the ""Executive Team - MicroStrategy"" snippet and other sources suggests that Phong Le is currently serving as President & Chief Executive Officer.",Phong Le,high,True
Bank Hapoalim B.M.,Zvi Ziv,"Answer: Yadin Antebi, Confidence: high",Yadin Antebi,high,True
Emperia Holding,Dariusz Kalinowski,"Answer: Arunas Zimnickas, Confidence: high",Arunas Zimnickas,high,True
Turkish Airlines,Temel Kotil,"Answer: Bilal Ekşi, Confidence: High",Bilal Ekşi,High,True
DNB Bank,Kjerstin Braathen,"Answer: Kjerstin Braathen, Confidence: High",Kjerstin Braathen,High,True
"Tesla, Inc.",Ze'ev Drori,"Answer: Elon Musk, Confidence: High.",Elon Musk,High,True
Bed Bath & Beyond Inc.,Steven H. Temares,"Answer: Chandra Holt, Confidence: high",Chandra Holt,high,True
Novo Nordisk,Lars Fruergaard Jørgensen,"Answer: Lars Fruergaard Jørgensen, Confidence: high.",Lars Fruergaard Jørgensen,high,True
Bombardier,Alain Bellemare,"Answer: Éric Martel, Confidence: high.",Éric Martel,high,True
Woolworths Group,Brad Banducci,"Answer: Amanda Bardwell, Confidence: high",Amanda Bardwell,high,True
AstraZeneca,Pascal Soriot,"Answer: Pascal Soriot, Confidence: High",Pascal Soriot,High,True
Reckitt,Laxman Narasimhan,"Answer: Kris Licht, Confidence: high",Kris Licht,high,True
The Walt Disney Company,Bob Chapek,"Answer: Bob Iger, Confidence: High",Bob Iger,High,True
McDonald’s,Michael R. Quinlan,"Answer: Chris Kempczinski, Confidence: High",Chris Kempczinski,High,True
Zim Integrated Shipping Services Ltd,Eliyahu Glickman,"Answer: Eli Glickman, Confidence: High",Eli Glickman,High,True
PetroChina Company Limited,Zhou Jiping,"Answer: Huang Yongzhang, Confidence: high",Huang Yongzhang,high,True
CCC,Dariusz Miłek,"Answer: Githesh Ramamurthy, Confidence: high.",Githesh Ramamurthy,high,True
RTX,Greg Hayes,"Answer: Christopher T. Calio, Confidence: High.",Christopher T. Calio,High,True
Viatris,Scott A. Smith,"Answer: Scott A. Smith, Confidence: High",Scott A. Smith,High,True
Pfizer,Albert Bourla,"Answer: Dr. Albert Bourla, Confidence: high",Dr. Albert Bourla,high,True
Česká spořitelna,Pavel Kysilka,"Answer: Daniel Heler, Confidence: medium.",Daniel Heler,medium,False
Zealand Pharma,Britt Meelby Jensen,"Answer: Adam Steensberg, Confidence: High.",Adam Steensberg,High,True
Hertz Global Holdings,Kathryn V. Marinello,"Answer: Gil West, Confidence: High.",Gil West,High,True
Sony Group,Kenichiro Yoshida,"Answer: Hiroki Totoki, Confidence: high.",Hiroki Totoki,high,True
Lippo Karawaci,Mochtar Riady,"Answer: John Riady, Confidence: high",John Riady,high,True
Gilead Sciences,Daniel O'Day,"Answer: Daniel O'Day, Confidence: High",Daniel O'Day,High,True
"Endeavor Group Holdings, Inc.",Patrick Whitesell,"Answer: Ari Emanuel is no longer the current CEO of Endeavor Group Holdings, Inc., but rather the Executive Chairman. The current CEO is Patrick Whitesell.
Confidence: Medium","Ari Emanuel is no longer the current CEO of Endeavor Group Holdings, Inc., but rather the Executive Chairman. The current CEO is Patrick Whitesell.",Medium,False
Orlen Unipetrol,Andrzej Modrzejewski,"Answer: Marek Świtajewski, Confidence: high",Marek Świtajewski,high,False
Vodacom,Shameel Joosub,"Answer: Mohamed Shameel Aziz Joosub, Confidence: High",Mohamed Shameel Aziz Joosub,High,True
Sparebanken Vest,Jan Erik Kjerpeseth,"Answer: Jan Erik Kjerpeseth, Confidence: high.",Jan Erik Kjerpeseth,high,True
National Grid plc,Steve Holliday,"Answer: John Pettigrew, Confidence: high",John Pettigrew,high,True
Qt Group Plc,Juha Varelius,"Answer: Juha Varelius, Confidence: high",Juha Varelius,high,True
SVB Financial Group,Greg Becker,"Answer: Not available in the provided search results, Confidence: low",Not available in the provided search results,low,False
Nippon Chemi-Con,Norio Kamiyama,"Answer: Kenichi Konno is not the current CEO but Representative Director and President; however, Norio Kamiyama has been the Chairman and Chief Executive Officer since April 2025., Confidence: high.","Kenichi Konno is not the current CEO but Representative Director and President; however, Norio Kamiyama has been the Chairman and Chief Executive Officer since April 2025.",high,False
China Auto Renting Inc.,Lu Zhengyao,"Answer: Charles Zhengyao Lu, Confidence: Medium",Charles Zhengyao Lu,Medium,True
Westpac,Peter King,"Answer: Anthony Miller, Confidence: High",Anthony Miller,High,True
American Financial Group,S. Craig Lindner,"Answer: S. Craig Lindner and Carl H. Lindner III, Confidence: high.",S. Craig Lindner and Carl H. Lindner III,high,True
Airbnb,Brian Chesky,"Answer: Brian Chesky, Confidence: High",Brian Chesky,High,True
Shimano Kabushiki-kaisha,Shozaburo Shimano,"Answer: Yozo Shimano, Confidence: high.",Yozo Shimano,high,True
Grupo ACS,Juan Santamaría,"Answer: Juan Santamaria Cases, Confidence: High",Juan Santamaria Cases,High,True
Ipsos,Ben Page,"Answer: Ben Page, Confidence: high",Ben Page,high,True
Powszechny Zakład Ubezpieczeń,Paweł Surowka,"Answer: Andrzej Klesyk, Confidence: high.",Andrzej Klesyk,high,True
Moderna,Stéphane Bancel,"Answer: Stéphane Bancel, Confidence: High.",Stéphane Bancel,High,True
Nissan Motor Co. Ltd.,Hiroto Saikawa,"Answer: Ivan Espinosa, Confidence: high.",Ivan Espinosa,high,True
West Japan Railway Company,Kazuaki Hasegawa,"Answer: Shoji Kurasaka, Confidence: high",Shoji Kurasaka,high,False
Repsol Oil & Gas Canada,James Buckee,"Answer: David Charlton, Confidence: medium",David Charlton,medium,False
Takeda Pharmaceutical Company,Christophe Weber,"Answer: Christophe Weber, Confidence: medium.",Christophe Weber,medium,True
Casino Group,Philippe Palazzi,"Answer: Philippe PALAZZI, Confidence: high.",Philippe PALAZZI,high,True
T-Mobile US,Mike Sievert,"Answer: Mike Sievert, Confidence: High.",Mike Sievert,High,True
First Media,Ali Chendra,"Answer: Guy Oranim, Confidence: high",Guy Oranim,high,True
Entain,Shay Segev,"Answer: Stella David (Interim), Confidence: High.",Stella David (Interim),High,True
Sea Ltd,Forrest Li,"Answer: Forrest Li, Confidence: High",Forrest Li,High,True
ASML Holding,Peter Wennink,"Answer: Christophe Fouquet, Confidence: High.",Christophe Fouquet,High,True
Magyar Telekom,Tibor Rékasi,"Answer: Tibor Rékasi, Confidence: High.",Tibor Rékasi,High,True
Unieuro,Giancarlo Nicosanti Monterastelli,"Answer: Giancarlo Nicosanti Monterastelli, Confidence: High.",Giancarlo Nicosanti Monterastelli,High,True
Lassila & Tikanoja,Eero Hautaniemi,"Answer: Eero Hautaniemi, Confidence: High",Eero Hautaniemi,High,True
HSBC,John Flint,"Answer: Georges Elhedery, Confidence: high.",Georges Elhedery,high,True
Groupe Bull,Pierre Barnabé,"Answer: Guy de Panafieu, Confidence: medium.",Guy de Panafieu,medium,False
The Hertz Corporation,Paul Stone,"Answer: Gil West, Confidence: High",Gil West,High,True
Kraft Heinz,Bernardo Hees,"Answer: Carlos Abrams-Rivera, Confidence: high",Carlos Abrams-Rivera,high,True
Novonesis,Ester Baiget,"Answer: Ester Baiget, Confidence: high.",Ester Baiget,high,True
