bank,bankLabel,position,positionLabel,governor,governorLabel,startDate,prediction,answer,eval,outdated
http://www.wikidata.org/entity/Q4504270,Central Bank of The Bahamas,http://www.wikidata.org/entity/Q98086030,Governor of the Central Bank of The Bahamas,http://www.wikidata.org/entity/Q11977954,James H. Smith,,"Answer: John A. Rolle, Confidence: high",John A. Rolle,True,True
http://www.wikidata.org/entity/Q683252,Danmarks Nationalbank,http://www.wikidata.org/entity/Q79443870,Governor of the Danish Nationalbank,http://www.wikidata.org/entity/Q12306042,Christian Kettel Thomsen,,"Answer: Ulrik Nødgaard and/or current Board of Governors including Christian Kettel Thomsen and Signe Krogstrup, Confidence: medium",Ulrik Nødgaard and/or current Board of Governors including Christian Kettel Thomsen and Signe Krogstrup,True,False
http://www.wikidata.org/entity/Q806176,Bank of Italy,http://www.wikidata.org/entity/Q105296814,Director General of the Bank of Italy,http://www.wikidata.org/entity/Q16574224,Luigi Federico Signorini,,"Answer: Fabio Panetta, Confidence: High.",Fabio Panetta,True,True
http://www.wikidata.org/entity/Q944085,Reserve Bank of India,http://www.wikidata.org/entity/Q14536141,Governor of the Reserve Bank of India,http://www.wikidata.org/entity/Q47388938,Shaktikanta Das,,"Answer: Sanjay Malhotra, Confidence: high.",Sanjay Malhotra,True,True
http://www.wikidata.org/entity/Q806646,Bank Negara Malaysia,http://www.wikidata.org/entity/Q23938077,Governor of Central Bank of Malaysia,http://www.wikidata.org/entity/Q56702497,Nor Shamsiah Mohd Yunus,,"Answer: Shaik Abdul Rasheed Ghaffour, Confidence: High.",Shaik Abdul Rasheed Ghaffour,True,True
http://www.wikidata.org/entity/Q251062,Czech National Bank,http://www.wikidata.org/entity/Q25505764,Governor of the Czech National Bank,http://www.wikidata.org/entity/Q56987421,Aleš Michl,,"Answer: Aleš Michl, Confidence: High",Aleš Michl,True,False
http://www.wikidata.org/entity/Q806932,Central Bank of Syria,http://www.wikidata.org/entity/Q119813682,Governor of Central Bank of Syria,http://www.wikidata.org/entity/Q60455268,Hazem Younes Karfoul,,"Answer: Abdul Qader al-Husriya, Confidence: high.",Abdul Qader al-Husriya,True,True
http://www.wikidata.org/entity/Q366960,Bank of Estonia,http://www.wikidata.org/entity/Q20529053,governor of the Bank of Estonia,http://www.wikidata.org/entity/Q61742853,Madis Müller,,"Answer: Madis Müller, Confidence: High",Madis Müller,True,False
http://www.wikidata.org/entity/Q920699,Central Bank of Egypt,http://www.wikidata.org/entity/Q110559825,Governor of the Central Bank of Egypt,http://www.wikidata.org/entity/Q76318432,Sir Frederick Terry Rowlatt,,"Answer: Hassan Abdalla, Confidence: high.",Hassan Abdalla,True,True
http://www.wikidata.org/entity/Q2743652,Bank of Mauritius,http://www.wikidata.org/entity/Q109908527,Governor of the Bank of Mauritius,http://www.wikidata.org/entity/Q109908528,Harvesh Seegolam,,"Answer: Dr Rama Krishna Sithanen G.C.S.K., Confidence: High",Dr Rama Krishna Sithanen G.C.S.K.,True,True
http://www.wikidata.org/entity/Q3363703,Bank of Mozambique,http://www.wikidata.org/entity/Q109951829,Governor of the Bank of Mozambique,http://www.wikidata.org/entity/Q109951850,Rogério Zandamela,,"Answer: Rogério Zandamela, Confidence: High.",Rogério Zandamela,True,False
http://www.wikidata.org/entity/Q4504285,Central Bank of Uruguay,http://www.wikidata.org/entity/Q125215132,President of the Central Bank of Uruguay,http://www.wikidata.org/entity/Q110208264,Diego Labat,,"Answer: Washington Ribeiro, Confidence: high",Washington Ribeiro,True,True
http://www.wikidata.org/entity/Q806706,Bank of Thailand,http://www.wikidata.org/entity/Q13017098,Governor of the Bank of Thailand,http://www.wikidata.org/entity/Q122973315,Sethaput Suthiwartnarueput,,"Answer: Sethaput Suthiwartnarueput, Confidence: high",Sethaput Suthiwartnarueput,True,False
