companyLabel,ceoLabel,prediction,answer,eval
Polestar,Michael Lohscheller,"Answer: Thomas Ingenlath, Confidence: High.",Thomas Ingenlath,False
TIM Group,Salvatore Rossi,"Answer: Pietro Labriola, Confidence: high.",Pietro Labriola,True
Verizon Communications,Hans Vestberg,"Answer: Hans Vestberg, Confidence: high.",Hans Vestberg,True
Bank of America,Brian Moynihan,"Answer: Brian Moynihan, Confidence: High.",Brian Moynihan,True
Naftna Industrija Srbije,Kirill Kravchenko,"I don't have access to real-time information and my knowledge stopped in 2023. As of my cut-off date, I couldn't find any reliable sources confirming the current CEO of Naftna Industrija Srbije (NIS). However, please note that CEOs can change positions over time.

Answer: Not Available, Confidence: Low",Not Available,False
Similarweb,Or Offer,"Answer: Or Offer, Confidence: high.",Or Offer,True
Nikola Corporation,Trevor Milton,"I'm not aware of any information about a person named Nikola Corporation, including their current CEO.",unknown,False
Maggie Beer Holdings,Laura McBain,"I don't have access to real-time data and updates. However, as of my last update, I couldn't find any information about Maggie Beer Holdings' current CEO.",unknown,False
Freyr Battery,Jan Arve Haugan,"Answer: Tom Einar Jensen, Confidence: high.",Tom Einar Jensen,False
Repsol,Josu Jon Imaz,I do not have access to a search engine to provide information about the current CEO of Repsol.,unknown,False
"GREE, Inc.",Yoshikazu Tanaka,"I don't have access to real-time data and cannot provide the current information about the CEO of GREE, Inc.",unknown,False
Broadcom,Tan Hock Eng,"Hock Tan, Confidence: High",Hock Tan,True
Adobe,John Warnock,"Shantanu Narayen 
Confidence: High",Shantanu Narayen,True
Publicis,Maurice Lévy,Arthur Sadoun,Arthur Sadoun,True
Microsoft,Satya Nadella,"Answer: Satya Nadella, Confidence: High.",Satya Nadella,True
ConocoPhillips,Ryan Lance,"Answer: Ryan Lance, Confidence: High.",Ryan Lance,True
Kering,François-Henri Pinault,"Answer: François-Henri Pinault, Confidence: High.",François-Henri Pinault,True
Homeserve,Richard Harpin,"Answer: Richard Harpin, Confidence: high",Richard Harpin,False
"Netflix, Inc.",Reed Hastings,"Answer: Reed Hastings, Confidence: high",Reed Hastings,False
RTL Group,Thomas Rabe,"Answer: Thomas Rabe, Confidence: high.",Thomas Rabe,True
SCOR SE,Denis Kessler,"I don't have access to real-time information and my knowledge cutoff is March 2023. As of my knowledge cutoff in 2023, the CEO of SCOR SE was Laurent Rousseau. However, please note that this information may not be up-to-date.

Answer: Laurent Rousseau
Confidence: Low",Laurent Rousseau,False
Sanofi,Paul Hudson,Paul Hudson,Paul Hudson,True
Fjord1,Dagfinn Neteland,I don't have information about the current CEO of Fjord1.,unknown,False
PGE Polska Grupa Energetyczna,Henryk Baranowski,"Answer: Wojciech Dąbrowski, Confidence: medium.",Wojciech Dąbrowski,False
Canal+,Maxime Saada,"Answer: Maxime Saada, Confidence: high.",Maxime Saada,True
Electronic Arts,Andrew Wilson,"Answer: Andrew Wilson, Confidence: High.",Andrew Wilson,True
Hang Seng Bank,Rose Lee Wai Mun,I don't have access to real-time data and cannot provide information on the current CEO of Hang Seng Bank.,unknown,False
Norwegian Air Shuttle,Geir Karlsen,"Answer: Jacob Schram, Confidence: High.",Jacob Schram,False
BlackRock,Larry Fink,"Answer: Larry Fink, Confidence: High.",Larry Fink,True
Getlink,Jacques Gounon,"Yann Leriche 
Confidence: medium",Yann Leriche,True
Tauron Polska Energia,Filip Grzegorczyk,"I don't have access to real-time data and my knowledge stopped in 2023. However, as of my cut-off date, the CEO of TAURON Polska Energia was Paweł Żołnierowicz, but please note that this information might not be up-to-date.
Answer: Paweł Żołnierowicz, Confidence: low",Paweł Żołnierowicz,False
Viaplay Group,Anders Jensen,"Answer: Anders Jensen, Confidence: High.",Anders Jensen,False
Vinci,Guy Dejouany,Xavier Huillard,Xavier Huillard,False
Air New Zealand,Christopher Luxon,"Answer: Greg Foran, Confidence: high.",Greg Foran,True
Northrop Grumman,Kathy J. Warden,Kathy Warden,Kathy Warden,True
Polaris Media,Per Axel Koch,"I don't have access to real-time data and cannot provide information about the current CEO of Polaris Media. My knowledge stopped in 2023, and I do not have any updates beyond that date.

However, as of my knowledge cutoff in 2023, I couldn't find any specific information on a company called ""Polaris Media."" It's possible that it's a smaller or private company, or it may not be well-known. 

If you're looking for the most up-to-date information, I recommend checking the latest news sources or the company's official website (if available).",unknown,False
Nokia,Björn Westerlund,Pekka Lundmark,Pekka Lundmark,False
Fortescue Metals Group,Elizabeth Gaines,Giz Watson,Giz Watson,False
KGHM Polska Miedź,Radosław Domagalski-Łabędzki,I do not have access to a search engine to provide information on the current CEO of KGHM Polska Miedź.,unknown,False
Evry,Per Hove,"I don't have access to real-time data and cannot provide information on the current CEO of Evry. My knowledge was last updated in 2023, and I do not have the ability to browse the internet or retrieve current information.

However, as of my knowledge cutoff in 2023, the CEO of Evry (also known as SpareBank 1 Østlandet) was Harald Serck-Hanssen. 

Answer: Harald Serck-Hanssen
Confidence: Low",Harald Serck-Hanssen,False
GMM Grammy,Boosaba Daorueng,"I don't have access to real-time information. However, as of my last update in 2023, Boosaba Daoreung was the CEO of GMM Grammy. Please note that this information may be outdated.

Answer: Boosaba Daoreung, Confidence: low",Boosaba Daoreung,True
HP Inc.,Dion Weisler,"Answer: Enrique Lores, Confidence: high.",Enrique Lores,True
Storebrand,Odd Arild Grefstad,I don't have access to a search engine to provide information on the current CEO of Storebrand.,unknown,False
Caterpillar Inc.,Jim Umpleby,"Answer: Jim Umpleby, Confidence: High",Jim Umpleby,False
Hurtigruten Group,Daniel Skjeldam,I don't have access to a search engine to provide information on the current CEO of Hurtigruten Group.,unknown,False
Orange Polska,Bruno Duthoit,"I'm not aware of the current CEO of Orange Polska. My information might be outdated or incorrect.

However, I can suggest some possible sources where you may find the correct answer:

* Official website of Orange Polska
* Recent news articles about the company
* Business directories or databases

If you need more assistance or have any other questions, feel free to ask!","* Official website of Orange Polska
* Recent news articles about the company
* Business directories or databases

If you need more assistance or have any other questions, feel free to ask!",False
"UNIMEX GROUP, uzavřený investiční fond",Jiří Šimáně,"I don't have access to real-time data and specific information about private companies' leadership. However, I can suggest some alternatives to find the answer:

1. Check the company's official website or social media profiles for updates on their leadership team.
2. Look up business directories or databases that provide information on company executives, such as LinkedIn or Crunchbase.
3. Contact the company directly and ask about their current CEO.

Please note that my response is based on general knowledge and may not reflect the most up-to-date information.","1. Check the company's official website or social media profiles for updates on their leadership team.
2. Look up business directories or databases that provide information on company executives, such as LinkedIn or Crunchbase.
3. Contact the company directly and ask about their current CEO.

Please note that my response is based on general knowledge and may not reflect the most up-to-date information.",False
Miss Grand International (company),Nawat Itsaragrisil,"Answer: Nawat Itsaragrisil, Confidence: high.",Nawat Itsaragrisil,True
Aena,Maurici Lucena Betriu,"Answer: Maurici Lucena, Confidence: High",Maurici Lucena,True
Dassault Aviation,Éric Trappier,"Answer: Eric Trappier, Confidence: High",Eric Trappier,True
O2 Czech Republic,Jindřich Fremuth,"I don't have access to real-time data and updates. My knowledge cutoff is March 2023, and I do not have information on the current CEO of O2 Czech Republic after that date.

However, as of my knowledge cutoff in March 2023, Jiri Dvorak was a notable figure associated with O2 Czech Republic",Jiri Dvorak,False
Alphabet Inc.,Sundar Pichai,"Answer: Sundar Pichai, Confidence: High.",Sundar Pichai,True
OHL ŽS,Petr Brzezina,I'm not aware of any information about a company called OHL ŽS. Could you please provide more context or details?,unknown,False
ADA,Nicolas Rousselet,"I don't have access to real-time information and my knowledge stopped in 2023. As a result, I'm not aware of any updates or changes that may have occurred after that date.

However, as of my knowledge cutoff, I couldn't find any specific information on the current CEO of ADA (Cardano). The founder of Cardano is Charles Hoskinson, but I don't have information on the current CEO. 

Answer: Not Found, Confidence: low",Not Found,False
Ubisoft,Yves Guillemot,"Answer: Yves Guillemot, Confidence: High.",Yves Guillemot,True
Arkema,Thierry Le Hénaff,"Arkema does not exist. You may be referring to Arkema's parent company, Arkema S.A., which was acquired by TotalEnergies (formerly known as Total S.A.) in 2006.

However, I found that Arkema Inc. is a subsidiary of Arkema S.A. and has its own management team. According to my knowledge cutoff, the current CEO of Arkema Inc. is not publicly available.",unknown,False
Fiat Chrysler Automobiles,Michael Manley,"Answer: Mike Manley, Confidence: Medium",Mike Manley,False
Vivendi,Yannick Bolloré,"I don't have access to real-time information and my knowledge stopped in 2023. As of my knowledge cutoff, Arnaud de Puyfontaine was the CEO of Vivendi. However, please note that this information might be outdated.

Answer: Arnaud de Puyfontaine, Confidence: low",Arnaud de Puyfontaine,True
Google,Sundar Pichai,"Answer: Sundar Pichai, Confidence: High.",Sundar Pichai,True
Accor,Sébastien Bazin,Accor does not have a single CEO. It has two CEOs - Sébastien Bazin and Jean-Jacques Morin,Sébastien Bazin and Jean-Jacques Morin,False
Air France-KLM,Benjamin Smith,"Answer: Benjamin Smith, Confidence: high.",Benjamin Smith,True
FNC Entertainment,Han Sung-ho,Han Seong-ho,Han Seong-ho,False
Luminar Technologies,Austin Russell,"Austin Russell, Confidence: High",Austin Russell,True
Groupe SEB,Thierry de La Tour d'Artaise,"Answer: Thierry de La Tour d’Artaise, Confidence: high.",Thierry de La Tour d’Artaise,False
Ahold Delhaize,Frans Muller,Frans Muller,Frans Muller,True
VEON,Kaan Terzioğlu,"Answer: Kaan Terzioğlu, Confidence: high.",Kaan Terzioğlu,True
Webuild,Pietro Salini,"I don't have access to real-time information. However, as of my last update in 2023, I couldn't find any specific information on who the current CEO of Webuild is. It's possible that this information may not be publicly available or may have changed recently.

Answer: Not Available, Confidence: Low",Not Available,False
Indra Sistemas,José Vicente de los Mozos,"I don't have access to real-time information. However, I can suggest checking the latest news or official announcements for the most up-to-date and accurate answer.

That being said, as of my knowledge cutoff in 2023, the CEO of Indra Sistemas was Ignacio Mataix. Please note that this information may not be current.

Answer: Ignacio Mataix
Confidence: Low",Ignacio Mataix,False
AnyColor,Riku Tazumi,"I'm not aware of the company ""AnyColor"" or its current CEO. Can you provide more context or details about the company? I'll do my best to help.

Alternatively, if ""AnyColor"" is a fictional company, please let me know and I'll be happy to clarify that as well.

Please provide more information so I can better assist you!",unknown,False
Traton,Christian Levin,"Answer: Christian Levin, Confidence: high.",Christian Levin,True
Nintendo,Tatsumi Kimishima,Shuntaro Furukawa,Shuntaro Furukawa,True
Nippon Steel Corporation,Eiji Hashimoto,"Answer: Eiji Hashimoto, Confidence: High.",Eiji Hashimoto,True
Meliá Hotels International,Gabriel Escarrer Jaume,"Answer: Gabriel Escarrer Julià, Confidence: high.",Gabriel Escarrer Julià,True
IBM,Arvind Krishna,"Arvind Krishna 
Confidence: High",Arvind Krishna,True
Royal Unibrew,Henrik Brandt,"Answer: Lars Jensen, Confidence: high",Lars Jensen,True
MicroStrategy,Michael J. Saylor,"Answer: Michael Saylor, Confidence: High.",Michael Saylor,False
Bank Hapoalim B.M.,Zvi Ziv,"I don't have access to real-time information and my knowledge cutoff is March 2023. As of my knowledge cutoff in 2023, Dov Kotler was the CEO of Bank Hapoalim B.M. However, please note that this information may be outdated, and I recommend verifying it with a more recent source.

Answer: Dov Kotler, Confidence: low",Dov Kotler,False
Emperia Holding,Dariusz Kalinowski,"Answer: Not Found, Confidence: Low.",Not Found,False
Turkish Airlines,Temel Kotil,"Answer: Ahmet Bolat, Confidence: high.",Ahmet Bolat,False
DNB Bank,Kjerstin Braathen,"Answer: Kjerfve Nilsen, Confidence: medium",Kjerfve Nilsen,False
"Tesla, Inc.",Ze'ev Drori,"Answer: Elon Musk, Confidence: high.",Elon Musk,True
Bed Bath & Beyond Inc.,Steven H. Temares,"Answer: Sue Gove, Confidence: high",Sue Gove,False
Novo Nordisk,Lars Fruergaard Jørgensen,"Answer: Lars Fruergaard Jørgensen, Confidence: high.",Lars Fruergaard Jørgensen,True
Bombardier,Alain Bellemare,"Answer: Éric Martel, Confidence: medium.",Éric Martel,True
Woolworths Group,Brad Banducci,Bradford Banducci,Bradford Banducci,False
AstraZeneca,Pascal Soriot,AstraZeneca's CEO is Pascal Soriot.,Pascal Soriot,True
Reckitt,Laxman Narasimhan,"Answer: Laxman Narasimhan, Confidence: High.",Laxman Narasimhan,False
The Walt Disney Company,Bob Chapek,"Answer: Bob Chapek, Confidence: High",Bob Chapek,False
McDonald’s,Michael R. Quinlan,Chris Kempczinski,Chris Kempczinski,True
Zim Integrated Shipping Services Ltd,Eliyahu Glickman,Eli Glickman,Eli Glickman,True
PetroChina Company Limited,Zhou Jiping,"Answer: Zhou Jiping, Confidence: Medium.",Zhou Jiping,False
CCC,Dariusz Miłek,"I don't have access to real-time information and my knowledge cutoff is March 2023. As of my knowledge cutoff, I do not have information on the current CEO of CCC (Computers and Communications Company). However, please note that this information may have changed since then.

Answer: Unknown, Confidence: Low",Unknown,False
RTX,Greg Hayes,I don't have access to a search engine to provide information on the current CEO of RTX.,unknown,False
Viatris,Scott A. Smith,"Answer: Michael Goettler, Confidence: High.",Michael Goettler,False
Pfizer,Albert Bourla,"Albert Bourla 
Confidence: High",Albert Bourla,True
Česká spořitelna,Pavel Kysilka,"Answer: Tomáš Salomon, Confidence: high",Tomáš Salomon,True
Zealand Pharma,Britt Meelby Jensen,I'm not aware of the current CEO of Zealand Pharma. My knowledge may be outdated or incomplete.,unknown,False
Hertz Global Holdings,Kathryn V. Marinello,"Stephen Scherr, Confidence: High.",Stephen Scherr,False
Sony Group,Kenichiro Yoshida,"Kenichiro Yoshida, Confidence: High.",Kenichiro Yoshida,False
Lippo Karawaci,Mochtar Riady,"I don't have access to real-time data and specific information about individual companies. However, I can suggest some possible sources where you may be able to find the most up-to-date information on the current CEO of Lippo Karawaci:

1. **Company Website**: The official website of Lippo Karawaci is a good place to start looking for the latest leadership information.
2. **News Articles**: Financial news websites and business sections of newspapers often report on changes in leadership positions at major companies.
3. **Business Directories**: Online directories that list companies and their executives can also be useful.

Given my limitations, I'm unable to provide a specific name or confirm who the current CEO is as of my last update.",unknown,False
Gilead Sciences,Daniel O'Day,"Answer: Daniel O'Day, Confidence: high.",Daniel O'Day,True
"Endeavor Group Holdings, Inc.",Patrick Whitesell,Ari Emanuel,Ari Emanuel,True
Orlen Unipetrol,Andrzej Modrzejewski,"Answer: Tomasz Wietecha, Confidence: high",Tomasz Wietecha,False
Vodacom,Shameel Joosub,"Shameel Joosub, Confidence: High",Shameel Joosub,False
Sparebanken Vest,Jan Erik Kjerpeseth,I'm not aware of the current CEO of Sparebanken Vest.,unknown,False
National Grid plc,Steve Holliday,"Answer: John Pettigrew, Confidence: High.",John Pettigrew,True
Qt Group Plc,Juha Varelius,I'm not aware of the current CEO of Qt Group Plc.,unknown,False
SVB Financial Group,Greg Becker,"Answer: Greg Becker, Confidence: Medium.",Greg Becker,True
Nippon Chemi-Con,Norio Kamiyama,"I don't have access to real-time data and specific information about the current CEO of Nippon Chemi-Con. My training data only goes up until 2022, and I do not have the ability to browse the internet or access new information.

However, as of my knowledge cutoff in 2022, the CEO of Nippon Chemi-Con was Fumio Dick Tanaka.

Answer: Fumio Dick Tanaka, Confidence: Low",Fumio Dick Tanaka,False
China Auto Renting Inc.,Lu Zhengyao,I'm not aware of any information about the current CEO of China Auto Renting Inc.,unknown,False
Westpac,Peter King,"Answer: Peter King, Confidence: High.",Peter King,False
American Financial Group,S. Craig Lindner,"Answer: S. Craig Lindner and Carl H. Lindner III (co-CEOs), Confidence: high.",S. Craig Lindner and Carl H. Lindner III (co-CEOs),True
Airbnb,Brian Chesky,"Answer: Brian Chesky, Confidence: High.",Brian Chesky,True
Shimano Kabushiki-kaisha,Shozaburo Shimano,"Answer: Yozo Shimano, Confidence: high.",Yozo Shimano,True
Grupo ACS,Juan Santamaría,"Answer: Florentino Pérez, Confidence: high.",Florentino Pérez,False
Ipsos,Ben Page,"Answer: Didier Truchot, Confidence: high.",Didier Truchot,False
Powszechny Zakład Ubezpieczeń,Paweł Surowka,I don't have access to a search engine to verify who the current CEO of Powszechny Zakład Ubezpieczeń is.,unknown,False
Moderna,Stéphane Bancel,Stéphane Bancel,Stéphane Bancel,True
Nissan Motor Co. Ltd.,Hiroto Saikawa,"Answer: Makoto Uchida, Confidence: high",Makoto Uchida,False
West Japan Railway Company,Kazuaki Hasegawa,"Answer: Kazuaki Minegishi, Confidence: high.",Kazuaki Minegishi,False
