companyLabel,ceoLabel,confidence,answer,eval,reference
Asseco Poland,Adam Góral,high,Adam Góral,True,([inwestor.asseco.com](https://inwestor.asseco.com/en/about-asseco/press-releases/adam-goral-one-of-the-most-competent-managers-on-the-wse-5199/?utm_source=openai))
Naturgy,Francisco Reynés,high,Francisco Reynés Massanet,True,([naturgy.com](https://www.naturgy.com/en/shareholders-and-investors/corporate-governance/francisco-reynes-massanet/?utm_source=openai))
Wells Fargo,Charlie Scharf,high,Charles W. Scharf,True,https://www-static.wellsfargo.com/about/corporate/governance/scharf/
Mitsubishi UFJ Financial Group,Nobuyuki Hirano,high,Hironori Kamezawa,True,([candorium.com](https://candorium.com/people/10024448-hironori-kamezawa?utm_source=openai))
AMD,Lisa Su,high,Lisa Su,True,([en.wikipedia.org](https://en.wikipedia.org/wiki/List_of_chief_executive_officers?utm_source=openai))
Korean Air,Cho Won-tae,high,Walter Cho,True,([en.wikipedia.org](https://en.wikipedia.org/wiki/Korean_Air?utm_source=openai))
Nidec,Shigenobu Nagamori,high,Mitsuya Kishida,True,([auto.economictimes.indiatimes.com](https://auto.economictimes.indiatimes.com/news/auto-components/japans-nidec-picks-chief-of-automotive-motor-unit-as-new-ceo/107718315?utm_source=openai))
Thales Group,Patrice Caine,High,Patrice Caine,True,([simplywall.st](https://simplywall.st/stocks/gb/capital-goods/lse-0iw5/thales-shares/management?utm_source=openai))
Suzuki Corporate,Suzuki Osamu,high,Toshihiro Suzuki,True,([globalsuzuki.com](https://www.globalsuzuki.com/globalnews/2023/0207b.html?utm_source=openai))
Mercedes-Benz Group,Robert James Eaton,high,Ola Källenius,True,([group.mercedes-benz.com](https://group.mercedes-benz.com/company/corporate-governance/board-of-management//?utm_source=openai))
American International Group,Peter Zaffino,high,Peter Zaffino,True,([ca.finance.yahoo.com](https://ca.finance.yahoo.com/quote/AIG/profile/?utm_source=openai))
TX Group,Pietro Supino,high,Pietro Supino,True,([bloomberg.com](https://www.bloomberg.com/profile/person/6658470?utm_source=openai))
Honda,Takahiro Hachigō,high,Toshihiro Mibe,True,([europe.autonews.com](https://europe.autonews.com/automakers/honda-ceo-toshihiro-mibe-outlines-multi-step-plan-jump-ahead-evs?utm_source=openai))
Vodafone,Nick Read,high,Margherita Della Valle,True,([forbes.com](https://www.forbes.com/profile/margherita-della-valle/?utm_source=openai))
Zurich Insurance Group,Mario Greco,High,Mario Greco,True,([zurich.com](https://www.zurich.com/media/news-releases/2024/2024-0124-01?utm_source=openai))
PostNL,Herna Verhagen,high,Pim Berendsen,True,([reuters.com](https://www.reuters.com/business/postnls-ceo-step-down-april-2025-2024-11-04/?utm_source=openai))
BMW,Oliver Zipse,High,Oliver Zipse,True,([motor1.com](https://www.motor1.com/news/688942/oliver-zipse-remains-bmw-boss-2026/?utm_source=openai))
QBE Insurance,John Neal,high,Andrew Horton,True,([qbe.com](https://www.qbe.com/about-qbe/group-executive-committee?utm_source=openai))
CoreCivic,Damon T. Hininger,high,Damon T. Hininger,True,([corecivic.com](https://www.corecivic.com/news/ceo-column-celebrating-another-year-and-looking-ahead?utm_source=openai))
Finnair,Pekka Vauramo,high,Turkka Kuusisto,True,([marketscreener.com](https://www.marketscreener.com/quote/stock/FINNAIR-OYJ-1412456/news/Finnair-picks-Turkka-Kuusisto-as-new-CEO-45719569/?utm_source=openai))
SalMar,Gustav Witzøe,High,Frode Arntsen,False,([seekingalpha.com](https://seekingalpha.com/article/4670856-salmar-asa-salrf-q4-2023-earnings-call-transcript?utm_source=openai))
Odakyu Electric Railway,Kōji Hoshino,high,Koji Hoshino,False,([financecharts.com](https://www.financecharts.com/stocks/ODERF/officers?utm_source=openai))
Elzab,Krzysztof Urbanowicz,high,Bartosz Panek,True,([simplywall.st](https://simplywall.st/stocks/pl/tech/wse-elz/zaklady-urzadzen-komputerowych-elzab-shares/management?utm_source=openai))
Kesko,Mikko Helander,high,Jorma Rauhala,True,([kesko.fi](https://www.kesko.fi/en/media/news-and-releases/news/2023/insider-information-jorma-rauhala-appointed-as-managing-director-of-kesko-corporation-and-president-and-ceo-of-kesko-gr/?utm_source=openai))
Israel Railways,Moshe Zana,high,Moshe Jana,True,([de.wikipedia.org](https://de.wikipedia.org/wiki/Moshe_Jana?utm_source=openai))
Dassault Systèmes,Bernard Charlès,high,Pascal Daloz,True,([marketscreener.com](https://www.marketscreener.com/quote/stock/DASSAULT-SYSTEMES-SE-4635/news/Dassault-Systemes-Announces-CEO-Changes-Effective-January-1-2024-44079599/?utm_source=openai))
Cloudflare,Matthew Prince,High,Matthew Prince,True,([fortune.com](https://fortune.com/2023/12/12/cloudflare-ceo-matthew-prince-companies-lighting-money-fire-with-ai/?ref=upstract.com&utm_source=openai))
Pivovary Lobkowicz Group,Jaroslav Tvrdík,high,Jaroslav Tvrdík,True,([marketscreener.com](https://www.marketscreener.com/insider/JAROSLAV-TVRDIK-A1XSS9/?utm_source=openai))
Deutsche Bank,Christian Sewing,High,Christian Sewing,True,([en.wikipedia.org](https://en.wikipedia.org/wiki/Christian_Sewing?utm_source=openai))
Wilh. Wilhelmsen,Thomas Wilhelmsen,high,Thomas Wilhelmsen,True,([wilhelmsenstage.wilhelmsen.com](https://wilhelmsenstage.wilhelmsen.com/about-wilhelmsen/governing-elements/board-and-management/group-management-team/thomas-wilhelmsen/?utm_source=openai))
Stellantis,Carlos Tavares,high,John Elkann,True,([reuters.com](https://www.reuters.com/business/autos-transportation/stellantis-closing-new-ceo-with-shortlist-five-candidates-sources-say-2025-04-15/?utm_source=openai))
Delta-galil Industries Ltd.,Isaac Dabah,high,Isaac Dabah,True,([deltagalil.com](https://deltagalil.com/company/executive-management/default.aspx?utm_source=openai))
BioNTech,Uğur Şahin,high,Uğur Şahin,True,([investorday.biontech.com](https://investorday.biontech.com/speakers?utm_source=openai))
ZipRecruiter,Ian Siegel,high,Ian Siegel,True,([dhrmap.com](https://www.dhrmap.com/news/ziprecruiter-announces-fourth-quarter-and-full-year-2023-results?utm_source=openai))
Renault,Luca de Meo,High,Luca de Meo,True,([renaultgroup.com](https://www.renaultgroup.com/en/magazine/our-group-news/luca-de-meo-named-group-ceo-2023-by-automotive-news?utm_source=openai))
Poste Italiane,Matteo Del Fante,high,Matteo Del Fante,True,([posteitaliane.it](https://www.posteitaliane.it/en/press-releases/posteitalianethe-1476585574877.html?utm_source=openai))
Eurocash,Luis Conceicao Do Amaral,high,Paweł Surówka,True,([grupaeurocash.pl](https://www.grupaeurocash.pl/en/about-us/management?utm_source=openai))
Carrefour Group,Alexandre Bompard,High,Alexandre Bompard,True,([en.wikipedia.org](https://en.wikipedia.org/wiki/Alexandre_Bompard?utm_source=openai))
Cisco,John Morgridge,High,Chuck Robbins,True,([businessroundtable.org](https://www.businessroundtable.org/cisco-chair-and-ceo-chuck-robbins-named-chair-of-business-roundtable?utm_source=openai))
Electrolux,Jonas Samuelson,high,Yannick Fierling,True,([reuters.com](https://www.reuters.com/business/retail-consumer/electrolux-appoints-yannick-fierling-new-ceo-2024-08-14/?utm_source=openai))
Tencent,Ma Huateng,high,Ma Huateng,True,([tencent.net.cn](https://www.tencent.net.cn/who-we-are/our-team/?utm_source=openai))
Macquarie Group,Shemara Wikramanayake,high,Shemara Wikramanayake,True,([forbes.com](https://www.forbes.com/profile/shemara-wikramanayake/?sh=74dc8c1f17e3&utm_source=openai))
Ping An Insurance,Ma Mingzhe,high,Yonglin Xie,True,([simplywall.st](https://simplywall.st/stocks/hk/insurance/hkg-2318/ping-an-insurance-group-company-of-china-shares/management?utm_source=openai))
Moneta Money Bank,Tomáš Spurný,high,Tomas Spurný,True,([simplywall.st](https://simplywall.st/stocks/cz/banks/sep-monet/moneta-money-bank-shares/management?utm_source=openai))
Bell Resources,Mark Avery,high,Mark Avery,True,([bellresources.com](https://bellresources.com/about-bell-resources/board-of-directors/mark-avery/?utm_source=openai))
Yandex,Arkady Volozh,high,Artyom Savinovsky,True,https://en.wikipedia.org/wiki/Yandex
AB Volvo,Hamza Moualdi,High,Martin Lundstedt,True,([en.wikipedia.org](https://en.wikipedia.org/wiki/Martin_Lundstedt?utm_source=openai))
H&M,Karl-Johan Persson,high,Daniel Ervér,True,([insideretail.us](https://insideretail.us/hm-names-daniel-erver-as-its-new-president-and-ceo/?utm_source=openai))
ČEZ,Daniel Beneš,high,Daniel Beneš,True,([letslearnczech.co.uk](https://www.letslearnczech.co.uk/news/daniel-benes-to-lead-cez-until-2029?utm_source=openai))
Leonardo,Roberto Cingolani,high,Roberto Cingolani,True,([en.wikipedia.org](https://en.wikipedia.org/wiki/Roberto_Cingolani?utm_source=openai))
VK,Boris Dobrodeyev,high,Vladimir Sergeevich Kiriyenko,True,([theorg.com](https://theorg.com/org/vk/org-chart/vladimir-kirienko?utm_source=openai))
freelancer.com,Matt Barrie,high,Matt Barrie,True,([freelancer.com](https://www.freelancer.com/about/management?w=f&utm_source=openai))
Songa Offshore SE,Bjørnar Iversen,high,Bjørnar Iversen,True,([offshoresource.com](https://www.offshoresource.com/news/company-updates/songa-offshore-se-bjornar-iversen-new-ceo?utm_source=openai))
Standard Chartered,Bill Winters,High,Bill Winters,True,([en.wikipedia.org](https://en.wikipedia.org/wiki/Bill_Winters?utm_source=openai))
Saudi Aramco,Amin H. Al-Nasser,high,Amin H. Nasser,True,([en.wikipedia.org](https://en.wikipedia.org/wiki/Amin_H._Nasser?utm_source=openai))
Telstra,Andy Penn,High,Vicki Brady,True,([gsma.com](https://www.gsma.com/about-us/gsma_people/vicki-brady/?utm_source=openai))
LPP,Marek Piechocki,high,Marek Piechocki,True,([lpp.com](https://www.lpp.com/en/investor-relations/corporate-governance/management-board/?utm_source=openai))
Porsche,Heinz Branitzki,high,Oliver Blume,True,([investorrelations.porsche.com](https://investorrelations.porsche.com/en/corporate-governance?utm_source=openai))
DuPont,Edward D. Breen,High,Lori D. Koch,True,([adhesivesmag.com](https://www.adhesivesmag.com/articles/101059-dupont-announces-changes-to-leadership-team?utm_source=openai))
Unibail Rodamco Westfield,Jean-Marie Tritant,high,Jean-Marie Tritant,True,([globaldata.com](https://www.globaldata.com/company-profile/unibail-rodamco-westfield-se/executives/?utm_source=openai))
Newag,Zbigniew Konieczek,high,Zbigniew Konieczek,True,([simplywall.st](https://simplywall.st/stocks/de/capital-goods/fra-n0ga/newag-shares/management?utm_source=openai))
G4S,Ashley Almanza,high,Renso Smit,True,https://www.datanyze.com/companies/g4s/29656604
GN Store Nord,Jørgen Lindegaard,high,Peter Karlströmer,True,([in.marketscreener.com](https://in.marketscreener.com/quote/stock/GN-STORE-NORD-A-S-1412917/news/GN-Store-Nord-appoints-Peter-Karlstromer-as-new-CEO-47204440/?utm_source=openai))
Beyond Meat,Ethan Brown,High,Ethan Brown,True,([www1.salary.com](https://www1.salary.com/BEYOND-MEAT-INC-Executive-Salaries.html?utm_source=openai))
Rotem Shani,Q17522859,high,Yehuda Yedidia,False,([marketscreener.com](https://www.marketscreener.com/quote/stock/ROTEM-SHANI-ENTREPRENEURS-120976855/?utm_source=openai))
Heineken,Jean-François van Boxmeer,high,Dolf van den Brink,True,([globenewswire.com](https://www.globenewswire.com/news-release/2023/12/14/2795984/0/en/HEINEKEN-announces-proposed-CEO-reappointment-and-Supervisory-Board-re-appointments.html?utm_source=openai))
JPMorgan Chase,Jamie Dimon,high,Jamie Dimon,True,([en.wikipedia.org](https://en.wikipedia.org/wiki/Jamie_Dimon?utm_source=openai))
Chevron Corporation,Mike Wirth,high,Michael K. Wirth,True,([chevron.com](https://www.chevron.com/who-we-are/leadership/michael-wirth?utm_source=openai))
Snap Inc.,Evan Spiegel,high,Evan Spiegel,True,([investor.snap.com](https://investor.snap.com/governance/leadership-team/default.aspx?utm_source=openai))
Legrand,Benoît Coquart,high,Benoît Coquart,True,([legrandgroup.com](https://www.legrandgroup.com/en/group/management?utm_source=openai))
"Elevance Health, Inc.",Joe Swedish,high,Gail Koziara Boudreaux,True,([en.wikipedia.org](https://en.wikipedia.org/wiki/Gail_Koziara_Boudreaux?utm_source=openai))
Atari SA,Frédéric Chesnais,high,Wade Rosen,True,([simplywall.st](https://simplywall.st/stocks/us/media/otc-pong.f/atari/management?utm_source=openai))
Japan Post Holdings,Masatsugu Nagato,high,Hiroya Masuda,True,([en.wikipedia.org](https://en.wikipedia.org/wiki/Hiroya_Masuda?utm_source=openai))
Telkom Indonesia,Alex Sinaga,high,Ririek Adriansyah,True,([fortune.com](https://fortune.com/company/telkom-indonesia/?utm_source=openai))
Imperial Hotel,Hideya Sadayasu,high,Hideya Sadayasu,False,([imperialhotel.co.jp](https://www.imperialhotel.co.jp/en/company/overview?utm_source=openai))
Spotify Technology,Daniel Ek,high,Daniel Ek,True,([marketscreener.com](https://www.marketscreener.com/quote/stock/SPOTIFY-TECHNOLOGY-SA-55764105/company-governance/?utm_source=openai))
General Motors,Mary Barra,high,Mary Barra,True,([gm.com](https://www.gm.com/company/leadership.detail.html/Pages/bios/global/en/corporate-officers/Mary-Barra/?utm_source=openai))
Western Union,Hikmet Ersek,high,Devin B. McGranahan,True,([globaldata.com](https://www.globaldata.com/company-profile/the-western-union-co/executives/?utm_source=openai))
Polestar,Michael Lohscheller,High,Michael Lohscheller,True,([automotiveworld.com](https://www.automotiveworld.com/news-releases/polestar-announces-leadership-change-michael-lohscheller-appointed-ceo/?utm_source=openai))
TIM Group,Salvatore Rossi,high,Pietro Labriola,True,([gruppotim.it](https://www.gruppotim.it/en/group/about-us/news/Pietro-Labriola-new-CEO-TIM.html?utm_source=openai))
Verizon Communications,Hans Vestberg,high,Hans Vestberg,True,([app.qwoted.com](https://app.qwoted.com/sources/hans-vestberg?utm_source=openai))
Bank of America,Brian Moynihan,high,Brian Moynihan,True,([ceobase.io](https://www.ceobase.io/ceos/brian-t-moynihan?utm_source=openai))
Naftna Industrija Srbije,Kirill Kravchenko,high,Kirill Vladimirovich Tyurdenev,True,([marketscreener.com](https://www.marketscreener.com/quote/stock/NAFTNA-INDUSTRIJA-SRBIJE--10225476/company-governance/?utm_source=openai))
Similarweb,Or Offer,high,Or Offer,True,([similarweb.com](https://www.similarweb.com/corp/leadership/?utm_source=openai))
Nikola Corporation,Trevor Milton,high,Stephen Girsky,True,([markets.businessinsider.com](https://markets.businessinsider.com/news/stocks/nikola-announces-leadership-transition-appoints-stephen-girsky-as-chief-executive-officer-1032517668?utm_source=openai))
Maggie Beer Holdings,Laura McBain,medium,Kinda Grange,False,([foodanddrinkbusiness.com.au](https://www.foodanddrinkbusiness.com.au/news/maggie-beer-holdings-ceo-resigns?utm_source=openai))
Freyr Battery,Jan Arve Haugan,high,Tom Einar Jensen,True,([stocktitan.net](https://www.stocktitan.net/news/FREY/freyr-battery-announces-leadership-changes-to-support-strategic-ffg043achtzn.html?utm_source=openai))
Repsol,Josu Jon Imaz,high,Josu Jon Imaz,True,([repsol.com](https://www.repsol.com/en/about-us/our-team/organizational-chart/josu-jon-imaz/index.cshtml?utm_source=openai))
"GREE, Inc.",Yoshikazu Tanaka,high,Yoshikazu Tanaka,True,([en.wikipedia.org](https://en.wikipedia.org/wiki/Gree_%28Japanese_company%29?utm_source=openai))
Broadcom,Tan Hock Eng,High,Hock Tan,True,([spglobal.com](https://www.spglobal.com/market-intelligence/en/news-insights/articles/2024/8/broadcom-head-ranks-as-highest-paid-s-p-500-ceo-in-2023-82843763?utm_source=openai))
Adobe,John Warnock,high,Shantanu Narayen,True,([hbr.org](https://hbr.org/2023/11/adobes-ceo-on-making-big-bets-on-innovation?utm_source=openai))
Publicis,Maurice Lévy,high,Arthur Sadoun,True,([en.wikipedia.org](https://en.wikipedia.org/wiki/Arthur_Sadoun?utm_source=openai))
Microsoft,Satya Nadella,high,Satya Nadella,True,([cnn.com](https://www.cnn.com/2023/12/26/tech/satya-nadella-ceo-of-the-year/index.html/?utm_source=openai))
ConocoPhillips,Ryan Lance,high,Ryan M. Lance,True,([conocophillips.com](https://www.conocophillips.com/about-us/leadership/ryan-lance/?utm_source=openai))
Kering,François-Henri Pinault,high,François-Henri Pinault,True,([kering.com](https://www.kering.com/en/group/our-governance/francois-henri-pinault/?utm_source=openai))
Homeserve,Richard Harpin,high,Richard Harpin,False,([en.wikipedia.org](https://en.wikipedia.org/wiki/Richard_Harpin?utm_source=openai))
"Netflix, Inc.",Reed Hastings,high,Ted Sarandos,True,([en.wikipedia.org](https://en.wikipedia.org/wiki/Ted_Sarandos?utm_source=openai))
RTL Group,Thomas Rabe,high,Thomas Rabe,True,([annual-report2023.rtl.com](https://www.annual-report2023.rtl.com/reports/rtlgroup/annual/2023/gb/English/700/the_br_management.html?utm_source=openai))
SCOR SE,Denis Kessler,high,Thierry Léger,True,([simplywall.st](https://simplywall.st/stocks/us/insurance/otc-scry.y/scor/management?utm_source=openai))
Sanofi,Paul Hudson,high,Paul Hudson,True,([sanofi.com](https://www.sanofi.com/en/our-company/governance/board-of-directors/paul-hudson?utm_source=openai))
Fjord1,Dagfinn Neteland,high,Dagfinn Neteland,True,([fjord1.no](https://www.fjord1.no/eng/About-Fjord1/Bord-of-directors-and-executive-team?utm_source=openai))
PGE Polska Grupa Energetyczna,Henryk Baranowski,high,Dariusz Marzec,True,([businesschief.com](https://businesschief.com/company/pge-polska-grupa-energetyczna?utm_source=openai))
Canal+,Maxime Saada,High,Maxime Saada,True,([canalplusgroup.com](https://www.canalplusgroup.com/en/governance?utm_source=openai))
Electronic Arts,Andrew Wilson,high,Andrew Wilson,True,([ceobase.io](https://www.ceobase.io/ceos/andrew-wilson?utm_source=openai))
Hang Seng Bank,Rose Lee Wai Mun,high,Diana Ferreira Cesar,True,([cms.hangseng.com](https://cms.hangseng.com/cms/fin/fld/statement/annual-report-2023/senior-management-eng.html?utm_source=openai))
Norwegian Air Shuttle,Geir Karlsen,High,Geir Karlsen,True,([marketscreener.com](https://www.marketscreener.com/quote/stock/NORWEGIAN-AIR-SHUTTLE-ASA-61747343/company-governance/?utm_source=openai))
BlackRock,Larry Fink,high,Laurence D. Fink,True,([ceobase.io](https://www.ceobase.io/ceos/laurence-d-fink?utm_source=openai))
Getlink,Jacques Gounon,high,Yann Leriche,True,([simplywall.st](https://simplywall.st/stocks/at/transportation/vie-get/getlink-shares/management?utm_source=openai))
Tauron Polska Energia,Filip Grzegorczyk,high,Grzegorz Lot,True,([fortune.com](https://fortune.com/company/tauron-polska-energia/?utm_source=openai))
Viaplay Group,Anders Jensen,high,Jørgen Madsen Lindemann,True,([in.marketscreener.com](https://in.marketscreener.com/quote/stock/VIAPLAY-GROUP-AB-56537178/news/Viaplay-Group-downgrades-2023-outlook-and-appoints-new-CEO-44036163/?utm_source=openai))
Vinci,Guy Dejouany,high,Xavier Huillard,True,([en.wikipedia.org](https://en.wikipedia.org/wiki/Xavier_Huillard?utm_source=openai))
Air New Zealand,Christopher Luxon,high,Greg Foran,True,([airnewzealand.com](https://www.airnewzealand.com/executive?utm_source=openai))
Northrop Grumman,Kathy J. Warden,High,Kathy Warden,True,([som.yale.edu](https://som.yale.edu/story/2023/chief-executive-leadership-institute-honors-kathy-warden-northrop-grumman-legend?utm_source=openai))
Polaris Media,Per Axel Koch,High,Per Axel Koch,True,([en.wikipedia.org](https://en.wikipedia.org/wiki/Per_Axel_Koch?utm_source=openai))
Nokia,Björn Westerlund,high,Pekka Lundmark,False,([fortune.com](https://fortune.com/europe/2023/06/09/nokia-ceo-geopolitical-tensions-fragment-world-machines-speak-the-same-language-even-people-dont/?utm_source=openai))
Fortescue Metals Group,Elizabeth Gaines,high,Dino Otranto,True,([in.marketscreener.com](https://in.marketscreener.com/quote/stock/FORTESCUE-METALS-GROUP-LI-10020240/company-governance/?utm_source=openai))
KGHM Polska Miedź,Radosław Domagalski-Łabędzki,High,Tomasz Zdzikot,False,([minexforum.com](https://minexforum.com/2023/08/29/kghm-polska-mied-s-a-has-entered-into-long-term-agreement-with-nkt/?utm_source=openai))
Evry,Per Hove,high,Per Hove,True,([bloomberg.com](https://www.bloomberg.com/profile/person/20331699?utm_source=openai))
GMM Grammy,Boosaba Daorueng,high,Boosaba Daorueng,True,([grammy.listedcompany.com](https://grammy.listedcompany.com/management.html?utm_source=openai))
HP Inc.,Dion Weisler,High,Enrique Lores,True,([en.wikipedia.org](https://en.wikipedia.org/wiki/Enrique_Lores?utm_source=openai))
Storebrand,Odd Arild Grefstad,high,Odd Arild Grefstad,True,([storebrand.com](https://www.storebrand.com/welcome/investor-relations/corporate-governance/executive-management?utm_source=openai))
Caterpillar Inc.,Jim Umpleby,high,Joseph E. Creed,False,([reuters.com](https://www.reuters.com/business/caterpillar-names-insider-joseph-e-creed-ceo-2025-04-15/?utm_source=openai))
Hurtigruten Group,Daniel Skjeldam,high,Daniel Skjeldam,False,([en.wikipedia.org](https://en.wikipedia.org/wiki/Daniel_Skjeldam?utm_source=openai))
Orange Polska,Bruno Duthoit,high,Liudmila Climoc,True,([fxmag.pl](https://www.fxmag.pl/gielda/orangepl-1-wrzesnia-2023r-liudmila-climoc-zastapi-juliena-ducarroz-na-stanowisku-prezesa-zarzadu-orange-polska-julien-ducarroz-obejmie-stanowisko-prezesa-orange-romania-2023-05-23-0953?utm_source=openai))
"UNIMEX GROUP, uzavřený investiční fond",Jiří Šimáně,,,False,
Miss Grand International (company),Nawat Itsaragrisil,high,Nawat Itsaragrisil,True,([congthuong.vn](https://congthuong.vn/chu-tich-miss-grand-international-nawat-itsaragrisil-den-viet-nam-247502.html?utm_source=openai))
Aena,Maurici Lucena Betriu,high,Maurici Lucena Betriu,True,([in.marketscreener.com](https://in.marketscreener.com/quote/stock/AENA-S-M-E-S-A-20954798/company-governance/?utm_source=openai))
Dassault Aviation,Éric Trappier,high,Éric Trappier,True,([ebace.aero](https://ebace.aero/2024/events/speakers/eric-trappier/?utm_source=openai))
O2 Czech Republic,Jindřich Fremuth,high,Jindřich Fremuth,True,([marketscreener.com](https://www.marketscreener.com/quote/stock/O2-CZECH-REPUBLIC-AS-188692/company-governance/?utm_source=openai))
Alphabet Inc.,Sundar Pichai,high,Sundar Pichai,True,([en.wikipedia.org](https://en.wikipedia.org/wiki/Alphabet_Inc.?utm_source=openai))
OHL ŽS,Petr Brzezina,high,Roman Kocúrek,True,([theorg.com](https://theorg.com/org/ohl-zs-a-s/org-chart/roman-kocurek?utm_source=openai))
ADA,Nicolas Rousselet,High,Charles D. Henderson,False,([diabetes.org](https://diabetes.org/newsroom/ada-names-charles-d-henderson-as-new-chief-executive-officer?utm_source=openai))
Ubisoft,Yves Guillemot,High,Yves Guillemot,True,([news.ubisoft.com](https://news.ubisoft.com/en-us/article/1SDhV77ExaJQbbDXFD5PIL/ubisoft-ceo-yves-guillemot-on-a-future-that-has-something-for-everyone?utm_source=openai))
Arkema,Thierry Le Hénaff,High,Thierry Le Hénaff,True,([chemanager-online.com](https://www.chemanager-online.com/en/news/arkema-extend-thierry-le-henaffs-contract-chairman-and-ceo?utm_source=openai))
Fiat Chrysler Automobiles,Michael Manley,high,Carlos Tavares,False,([apnews.com](https://apnews.com/article/6a882961eb47c581e6105d2bc473f57c?utm_source=openai))
Vivendi,Yannick Bolloré,high,Arnaud de Puyfontaine,True,([simplywall.st](https://simplywall.st/stocks/at/media/vie-viv/vivendi-shares/management?utm_source=openai))
Google,Sundar Pichai,high,Sundar Pichai,True,([businessinsider.com](https://www.businessinsider.com/sundar-pichai-google-alphabet-ceo-career-life?utm_source=openai))
Accor,Sébastien Bazin,high,Sébastien Bazin,True,([press.accor.com](https://press.accor.com/update-on-accors-organization/?lang=eng&utm_source=openai))
Air France-KLM,Benjamin Smith,High,Benjamin Smith,True,([investing.com](https://www.investing.com/news/stock-market-news/air-franceklm-renews-ceo-smiths-mandate-and-names-new-klm-boss-2795300?utm_source=openai))
